Date,Close_sp500,Close_tbill,Close_msft
2000-04-18,1441.61,5.64,40.15
2000-04-19,1427.47,5.64,39.22
2000-04-20,1434.54,5.62,39.34
2000-04-24,1429.86,5.6,33.2
2000-04-25,1477.44,5.63,34.57
2000-04-26,1460.99,5.59,33.89
2000-04-27,1464.92,5.58,34.79
2000-04-28,1452.43,5.65,34.76
2000-05-01,1468.25,5.67,36.6
2000-05-02,1446.29,5.74,34.82
2000-05-03,1415.1,5.74,35.17
2000-05-04,1409.57,5.72,35.11
2000-05-05,1432.63,5.79,35.45
2000-05-08,1424.17,5.89,34.79
2000-05-09,1412.14,5.96,33.8
2000-05-10,1383.05,5.93,32.99
2000-05-11,1407.81,5.91,33.83
2000-05-12,1420.96,5.96,34.29
2000-05-15,1452.36,5.93,34.57
2000-05-16,1466.04,6.01,34.64
2000-05-17,1447.8,5.91,33.74
2000-05-18,1437.21,5.73,32.99
2000-05-19,1406.95,5.7,32.43
2000-05-22,1400.72,5.7,31.99
2000-05-23,1373.86,5.78,31.49
2000-05-24,1399.05,5.74,32.67
2000-05-25,1381.52,5.66,30.65
2000-05-26,1378.02,5.65,30.62
2000-05-30,1422.45,5.6,31.59
2000-05-31,1420.6,5.49,31.18
2000-06-01,1448.81,5.56,32.18
2000-06-02,1477.26,5.7,33.05
2000-06-05,1467.63,5.71,33.33
2000-06-06,1457.84,5.82,34.7
2000-06-07,1471.36,5.75,35.14
2000-06-08,1461.67,5.75,34.29
2000-06-09,1456.95,5.75,34.29
2000-06-12,1446.0,5.67,33.33
2000-06-13,1469.44,5.72,33.83
2000-06-14,1470.54,5.66,35.14
2000-06-15,1478.73,5.65,36.07
2000-06-16,1464.46,5.64,36.16
2000-06-19,1486.0,5.64,36.73
2000-06-20,1475.95,5.62,37.35
2000-06-21,1479.13,5.64,40.22
2000-06-22,1452.18,5.66,39.81
2000-06-23,1441.48,5.69,38.72
2000-06-26,1455.31,5.65,39.62
2000-06-27,1450.55,5.65,39.28
2000-06-28,1454.82,5.64,39.34
2000-06-29,1442.39,5.67,38.47
